# Mimics substrate bin/export_dictionary_source.rb output. Invented rows, no real export data.
term	prominence	protected	protected_reason	axis	curated	name_type	n_sources	n_tokens
flexeril	17	0		drug	1	rxnorm_ingredient	1	1
cdk10	10	1	gene_symbol	target	1	rxnorm_ingredient	1	1
5-fluorouracil	50	0		drug	1	rxnorm_ingredient	1	1
genvoya®	5	0		drug	1	rxnorm_ingredient	1	1
xy	900	0		drug	1	rxnorm_ingredient	1	1
diabetes mellitus type 2	400	0		condition	1	rxnorm_ingredient	1	4
diabetes insipidus	200	0		condition	1	rxnorm_ingredient	1	2
acetaminphen 500 mg tablet	8	0		drug	1	rxnorm_ingredient	1	4
small nuclear rna	60	0		target	1	rxnorm_ingredient	1	3
small nucleolar rna	30	0		target	1	rxnorm_ingredient	1	3
bromocriptine	23	0		drug	1	inn	1	1
bromocriptin	1	0		drug	0	preferred	1	1
novelcompound	5	0		drug	0	preferred	1	1
